nws_id,physicalelement,datetime(GMT),sitename,wfo,latitude,longitude,soiltemp(F),depth(in),afos_id,extremum
MRRM5,TB,9/30/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,48,4,KMPXRR3MPX,N
MUNM4,TB,9/30/2009 15:00,Mendon - MAWN - Ag Mesonet Site,IWX,41.98333333,-85.43333333,58,4,KGRRRR2GRR,Z
NWFM4,TB,9/30/2009 12:00,Nw Michigan Research Farm,APX,44.88305556,-85.67527778,54,4,KAPXRR3APX,N
OGDI2,TB,9/30/2009 11:00,Ogden,ILX,40.11,-87.95666667,62,4,KILXRR3ILX,Z
PDHK2,TB,9/30/2009 5:00,West Paducah 2SW,PAH,37.06833333,-88.7725,75,4,KPAHRR3PAH,Z
PEYI2,TB,9/30/2009 13:00,Perry 6NW,LSX,39.80583333,-90.82361111,52,4,KLSXRR3LSX,N
PYVI3,TB,9/30/2009 12:50,Perrysville,IND,40.07,-87.5,54,4,KINDRR3IND,N
SIUI2,TB,9/29/2009 21:00,Belleville - Siu Ag Farm,LSX,38.52,-89.84666667,57,4,KLSXRR3LSX,N
SNWI2,TB,9/30/2009 11:00,Streamwood,LOT,42.02555556,-88.17833333,53,4,KLOTRR3LOT,N
SPOM4,TB,9/30/2009 15:00,Sparta 4SW - MSU Ag Mesonet,GRR,43.11722222,-85.75416667,52,4,KGRRRR2GRR,Z
THTI3,TB,9/30/2009 12:00,Terre Haute,IND,39.35,-87.42,52,4,KINDRR3IND,N
WANI3,TB,9/30/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,57,4,KLOTRR3LOT,N
WASM5,TB,9/30/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,49,4,KMPXRR3MPX,N
WATI2,TB,9/30/2009 12:00,Watseka 2NW,LOT,40.79277778,-87.75555556,44,4,KLOTRR3LOT,N
WEOM4,TB,9/30/2009 14:00,West Olive 5NE - MSU Ag Mesonet,GRR,42.97,-86.07,55,4,KGRRRR2GRR,Z
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,54,4,KABRRR3ABR,Z
WISI2,TB,9/30/2009 0:00,Windsor,ILX,39.43805556,-88.59861111,64,4,KILXRR3ILX,N
WLFI3,TB,9/30/2009 12:00,West Lafayette,IND,40.47,-87,61,4,KINDRR3IND,N
ABR,TB,9/30/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,54,8,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,56,8,KDLHRR3DLH,Z
CSAI4,TB,9/30/2009 12:08,Castana Exp. Farm,OAX,42.06666667,-95.81666667,55,8,KOAXRR3OAX,Z
MRRM5,TB,9/30/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,48,8,KMPXRR3MPX,N
WANI3,TB,9/30/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,56,8,KLOTRR3LOT,N
WASM5,TB,9/30/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,54,8,KMPXRR3MPX,N
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,54,8,KABRRR3ABR,Z
WLFI3,TB,9/30/2009 12:00,West Lafayette,IND,40.47,-87,61,8,KINDRR3IND,N
ABR,TB,9/30/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,58,20,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,60,20,KDLHRR3DLH,Z
CSAI4,TB,9/30/2009 12:08,Castana Exp. Farm,OAX,42.06666667,-95.81666667,62,20,KOAXRR3OAX,Z
WANI3,TB,9/30/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,62,20,KLOTRR3LOT,Z
WASM5,TB,9/30/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,62,20,KMPXRR3MPX,Z
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,60,20,KABRRR3ABR,Z
WLFI3,TB,9/30/2009 12:00,West Lafayette,IND,40.47,-87,68,20,KINDRR3IND,Z
ABR,TB,9/30/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,60,40,KABRRR3ABR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,60,40,KDLHRR3DLH,Z
CSAI4,TB,9/30/2009 12:08,Castana Exp. Farm,OAX,42.06666667,-95.81666667,57,40,KOAXRR3OAX,Z
WANI3,TB,9/30/2009 12:00,Wanatah 2WNW,LOT,41.44361111,-86.93,67,40,KLOTRR3LOT,Z
WASM5,TB,9/30/2009 13:00,Waseca - Exp Stn,MPX,44.0725,-93.53277778,63,40,KMPXRR3MPX,Z
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,60,40,KABRRR3ABR,Z
WLFI3,TB,9/30/2009 12:00,West Lafayette,IND,40.47,-87,66,40,KINDRR3IND,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,56,60,KDLHRR3DLH,Z
WHRM5,TB,9/28/2009 13:00,White Rock Dam (Wheaton 5NW)/Mud Lk,ABR,45.86194444,-96.565,57,60,KABRRR3ABR,Z
ABR,TB,10/1/2009 13:00,Aberdeen Muni Arpt (WFO & ASOS),ABR,45.45583333,-98.41277778,53,2,KABRRR3ABR,Z
ALNM4,TB,10/1/2009 15:00,Albion 1NW,DTX,42.26194444,-84.77416667,48,2,KGRRRR2GRR,Z
ATKM5,TB,9/28/2009 12:00,Aitkin 2E,DLH,46.53388889,-93.70305556,51,2,KDLHRR3DLH,Z
BATM4,TB,10/1/2009 15:00,Bath 2ENE - MSU Ag Mesonet,GRR,42.82777778,-84.38611111,45,2,KGRRRR2GRR,Z
BELM4,TB,10/1/2009 15:00,Belding 3WNW - MSU Ag Mesonet,GRR,43.11,-85.31,48,2,KGRRRR2GRR,Z
CLRM4,TB,10/1/2009 15:00,Clarksville 2NW - MSU Ag Mesonet,GRR,42.87,-85.26,48,2,KGRRRR2GRR,Z
CSAI4,TB,10/1/2009 12:06,Castana Exp. Farm,OAX,42.06666667,-95.81666667,57,2,KOAXRR3OAX,Z
ENTM4,TB,10/1/2009 15:00,Lakeview - Entrican - MSU Ag Mesonet,GRR,43.3775,-85.18,50,2,KGRRRR2GRR,Z
FEVM4,TB,9/30/2009 8:00,Fennville 3WSW - MSU Ag Mesonet,GRR,42.59,-86.15,54,2,KGRRRR2GRR,Z
FRMM4,TB,10/1/2009 15:00,Fremont 3S - WWTP / MSU Ag Mesonet,GRR,43.42,-85.95,49,2,KGRRRR2GRR,Z
GRJM4,TB,10/1/2009 15:00,Grand Junction 1W,GRR,42.4,-86.1,47,2,KGRRRR2GRR,Z
HFDM4,TB,10/1/2009 15:00,Hartford - MSU Ag Mesonet,GRR,42.22972222,-86.15583333,48,2,KGRRRR2GRR,Z
HRTM4,TB,10/1/2009 15:00,Hart - MI St Police,GRR,43.68861111,-86.37444444,46,2,KGRRRR2GRR,Z
HVLM4,TB,10/1/2009 15:00,Hudsonville - MSU Ag Mesonet,GRR,42.85944444,-85.88944444,51,2,KGRRRR2GRR,Z
LUNM4,TB,10/1/2009 15:00,Ludington - MAWN Ag Mesonet Site,GRR,43.90416667,-86.37972222,50,2,KGRRRR2GRR,Z
MRRM5,TB,10/1/2009 13:00,Morris 2E - WC Exp Stn,MPX,45.59027778,-95.87472222,49,2,KMPXRR3MPX,N
MUNM4,TB,10/1/2009 15:00,Mendon - MAWN - Ag Mesonet Site,IWX,41.98333333,-85.43333333,54,2,KGRRRR2GRR,Z
SPOM4,TB,10/1/2009 15:00,Sparta 4SW - MSU Ag Mesonet,GRR,43.11722222,-85.75416667,47,2,KGRRRR2GRR,Z
